year;age_group;rock_pop;hip_hop;techno_house;hardrock_heavy_metal;classical
2009;14_19;0.873;0.693;0.609;0.449;0.119
2009;20_29;0.896;0.584;0.506;0.433;0.169
2009;30_39;0.876;0.344;0.243;0.338;0.269
2009;40_49;0.836;0.221;0.136;0.254;0.303
2009;50_59;0.646;0.113;0.053;0.138;0.403
2009;60_69;0.326;0.035;0.015;0.034;0.48
2009;over_70;0.08;0.012;0.009;0.009;0.506
2010;14_19;0.892;0.713;0.629;0.448;0.124
2010;20_29;0.886;0.582;0.495;0.443;0.175
2010;30_39;0.88;0.372;0.27;0.336;0.259
2010;40_49;0.857;0.24;0.152;0.269;0.312
2010;50_59;0.662;0.115;0.061;0.138;0.391
2010;60_69;0.349;0.038;0.016;0.039;0.478
2010;over_70;0.104;0.012;0.006;0.009;0.488
2011;14_19;0.897;0.749;0.638;0.429;0.118
2011;20_29;0.87;0.602;0.509;0.406;0.183
2011;30_39;0.886;0.521;0.289;0.339;0.25
2011;40_49;0.84;0.263;0.16;0.274;0.309
2011;50_59;0.675;0.125;0.059;0.152;0.376
2011;60_69;0.391;0.05;0.027;0.054;0.464
2011;over_70;0.118;0.017;0.009;0.012;0.483
2012;14_19;0.903;0.763;0.661;0.408;0.121
2012;20_29;0.878;0.618;0.536;0.412;0.177
2012;30_39;0.888;0.419;0.303;0.344;0.271
2012;40_49;0.838;0.267;0.17;0.286;0.312
2012;50_59;0.705;0.14;0.073;0.189;0.383
2012;60_69;0.422;0.048;0.027;0.069;0.459
2012;over_70;0.127;0.019;0.009;0.017;0.5
2013;14_19;0.891;0.764;0.647;0.384;0.117
2013;20_29;0.879;0.616;0.533;0.422;0.184
2013;30_39;0.872;0.43;0.314;0.344;0.275
2013;40_49;0.825;0.274;0.185;0.286;0.306
2013;50_59;0.738;0.153;0.086;0.189;0.394
2013;60_69;0.493;0.05;0.025;0.069;0.455
2013;over_70;0.162;0.02;0.01;0.017;0.523
2014;14_19;0.869;0.773;0.631;0.365;0.103
2014;20_29;0.879;0.626;0.524;0.414;0.19
2014;30_39;0.872;0.439;0.317;0.349;0.25
2014;40_49;0.825;0.285;0.191;0.277;0.293
2014;50_59;0.738;0.157;0.094;0.192;0.381
2014;60_69;0.493;0.063;0.029;0.078;0.455
2014;over_70;0.162;0.023;0.01;0.017;0.524
2015;14_19;0.872;0.778;0.64;0.349;0.107
2015;20_29;0.875;0.619;0.526;0.388;0.194
2015;30_39;0.869;0.437;0.316;0.345;0.249
2015;40_49;0.841;0.285;0.184;0.275;0.292
2015;50_59;0.751;0.173;0.101;0.202;0.365
2015;60_69;0.517;0.07;0.036;0.091;0.449
2015;over_70;0.178;0.023;0.009;0.02;0.528
2016;14_19;0.897;0.775;0.637;0.365;0.125
2016;20_29;0.89;0.62;0.52;0.384;0.198
2016;30_39;0.893;0.46;0.333;0.355;0.255
2016;40_49;0.879;0.292;0.192;0.287;0.29
2016;50_59;0.826;0.199;0.111;0.211;0.354
2016;60_69;0.658;0.086;0.045;0.102;0.447
2016;over_70;0.305;0.022;0.011;0.021;0.53
2017;14_19;0.881;0.802;0.633;0.365;0.129
2017;20_29;0.884;0.66;0.535;0.384;0.198
2017;30_39;0.875;0.488;0.358;0.355;0.257
2017;40_49;0.852;0.338;0.217;0.287;0.286
2017;50_59;0.793;0.222;0.121;0.211;0.341
2017;60_69;0.605;0.101;0.043;0.102;0.443
2017;over_70;0.265;0.024;0.013;0.021;0.528
2018;14_19;0.871;0.796;0.613;0.374;0.124
2018;20_29;0.872;0.675;0.538;0.404;0.194
2018;30_39;0.864;0.483;0.359;0.371;0.269
2018;40_49;0.842;0.362;0.223;0.301;0.281
2018;50_59;0.782;0.24;0.122;0.225;0.349
2018;60_69;0.589;0.104;0.042;0.104;0.434
2018;over_70;0.24;0.029;0.011;0.022;0.521
2019;14_19;0.862;0.75;0.625;0.375;0.118
2019;20_29;0.856;0.606;0.564;0.398;0.199
2019;30_39;0.851;0.387;0.372;0.364;0.255
2019;40_49;0.838;0.27;0.25;0.322;0.285
2019;50_59;0.784;0.173;0.15;0.241;0.357
2019;60_69;0.619;0.072;0.057;0.128;0.435
2019;over_70;0.264;0.025;0.017;0.034;0.533
